id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
201, Latin Quarter in Paris ,Paris," The progressive, free-spirited and artistic quarter of Paris, Quartier Latin, has been central to student life in Paris. Designed somewhere in the Middle Ages, the Latin Quarter of Paris has come to hold Parisâ€™ educational endeavours and artistic spirit intact through its considerable numbers of educational institutions, research centres and other aids to student life such as bistros and cafes. This bohemian neighbourhood has evolved into a tourist attraction while retaining its old charm and scholarly vibe.  ",https://www.holidify.com/images/cmsuploads/square/23962185367_ff3e118322_b_20190726135751.jpg,3.5,6.1,1700,-1,0,1,0,4,3.7,5.9,4.2,3.4,4.5,3.9,6.9
202,Musee De L Orangerie ,Paris," A specimen of Napoleon III architectural style, Musee de Lâ€™Orangerie is an art gallery that exhibits artworks from the impressionist and post-impressionist eras that greatly affected France. It was established in 1852 in the Tuileries Gardens, right next to Place de la Concorde. The Museum holds the precious series of eight paintings under the title â€œWater Liliesâ€ù by Monet, the French painter who founded French Impressionism. Another set of permanent collection held in the museum is the Jean Walter and Paul Guillaume Collection which consists of artworks by Picasso, Renoir, Rousseau and other renowned artists.  ",https://www.holidify.com/images/cmsuploads/square/2011-12-Musee_de_lorangerie_20190726182606.jpg,2.9,2.1,300,-1,0,0,0,4.6,2.2,6.3,4.4,3.5,5.4,4.8,6.3
203,Le Manoir De Paris ,Paris," An exemplary destination for all horror fans, Le Manoir de Paris, is a haunted show fashioned after 17 Parisian legends from the 18th-20th centuries. It brings to life these horrific myths and aims for visitors to have a thrilling, spooky and above all, an interactive experience. With five levels of â€œfearfulâ€ù activities, the Manoir de Paris is spread across three floors of 500 sq. m. with 23 rooms in total. This theatrical menace is effective as it employs 30 actors, thick black velvet covers, and ominous costumes and sets to create the visuals. ",https://www.holidify.com/images/cmsuploads/square/Manoir_de_ParisParis_30747482390_20190731152200.jpg,5.8,5.4,3300,0,0,1,1,4.4,9,1.8,5.8,3,6.7,3.6,5.8
204,Burj Khalifa ,Dubai," Towering at a height of 2,700 feet, the Burj Khalifa is currently the tallest tower in the world. With two observation decks, a Las Vegas-inspired fountain, nine of the city's best luxury hotels and multiple restaurants, this 21st-century architectural marvel must be your number one place to visit when in Dubai or even the UAE. Also, make sure to book your tickets in advance well to avoid last moment hassles. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_779374957_20190822125404_20190822125410.jpg,4.4,8.1,2900,-1,1,0,1,8,3.1,6,3.3,8.3,2.8,7,4.7
205,Palm Jumeirah ,Dubai," Palm Jumeirah, Dubai's magnificent artificial archipelago, is the epitome of beauty created by land reclamation, extending into the Persian Gulf. The archipelago resembles a palm tree with a circle when you take an overhead view of it. It was one of the first major tourism projects in the UAE and currently houses some of Dubaiâ€™s top tourist destinations like Atlantis, the Palm, Aquaventure Waterpark and the Lost Chambers Aquarium. ",https://www.holidify.com/images/cmsuploads/square/attr_1419_20190912135913.jpg,3.1,2.3,800,0,0,1,0,5.7,1.9,9.1,2.3,3.2,9.2,7.7,8.4
206,Burj Al Arab ,Dubai," Established in the year 1999, Burj Al Arab is one of the premium hotels of Dubai located on an artificial island off Jumeirah Road. Designed in the shape of a sail of a dhow, this iconic landmark houses an array of shiny chauffeur-driven limousines and a private helipad. Talking of luxury, the hotel features an attractive fountain, an admirable lobby and richness induced 203 suites. Standing tall at a height of 180 meters, the royalty factor of the hotel is brought out by its may interior elements adorned in real gold! A prior reservation (on its website) is required to get past the lobby security to visit its restaurant if you are not staying there.  ",https://www.holidify.com/images/cmsuploads/square/8383767654_928b8ff26e_b_20190116135238.jpg,4.2,1.3,1700,-1,0,1,0,3.9,6.4,9,7.7,9.1,5.3,2.9,5
207,Dubai Aquarium & Underwater Zoo ,Dubai," Located on the ground floor of the Dubai Mall, the Dubai Aquarium & Underwater Zoo houses over 33,000 marine life occupying the 10 million litres of water within the tank. A unique underwater zoo occupies the level above the tank showcasing a plethora of underwater life that can be found inhabiting the oceans, rivers and other water bodies across the planet. The VR Zoo makes up the third section offering thrilling wildlife adventures via realistically created virtual tours.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_508380913_20190822131953_20190822132026.jpg,2.3,3.7,2400,-1,0,1,1,8.3,4.5,7.7,9.4,9.1,3.4,9.5,8.2
208,The Dubai Mall ,Dubai," The Dubai Mall, also known as the home of the Dubai shopping festival, is one of the world's largest shopping malls with an area of over 500,000 square meters! With more than 1200 stores, a large walk-through aquarium, a world-class ic rink, 14,000 parking spaces and more exciting experiences for shoppers, the mall was voted the best shopping experience in the world by Grazia Magazine in 2010.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_228880075_20190822131717_20190822131816.jpg,5,5.4,2400,0,0,0,0,4.4,8.1,2.5,2.9,2,3.9,7.6,2.4
209,Global Village Dubai ,Dubai," Global Village Dubai is claimed to be the world's most significant tourism, leisure and entertainment project of UAE. It is the region's first cultural, entertainment, family and shopping destination. Every year, the place receives over 5 million visitors over an area of 17,200,000 sq ft. The compound has various pavilions that each  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_780556252_20190822124114_20190822124134.jpg,5.8,6.7,1300,-1,1,0,0,1.9,6.2,3.8,5.2,1.6,4.8,5,7
210,Miracle Garden Dubai ,Dubai," Miracle Garden is one of the most beautiful and biggest natural flower gardens in the world. Located in Dubailand, it is spread across a vast area of over 72,000 square meters, the garden is the world's largest natural flower garden featuring over 45 million flowers and plants. The place is a heaven for those seeking nature's beauty in the city. The garden is open only from mid-November to mid-May.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_783897589_20190822132126_20190822132133.jpg,2.8,4.5,3500,1,1,0,0,8,7.7,4.6,4.4,8,9.5,2.5,8.8
211,Dubai Marina ,Dubai," Nestled in the region popularly known as 'New Dubai', Dubai Marina is a conceptualized man-made canal city. It offers luxurious lifestyles through its exquisite waterfront development along the Persian Gulf shoreline. There are classy hotels and upscale shopping and other leisure options here. It also contains the Dubai Marina Mall Complex, a shopping and entertainment destination. ",https://www.holidify.com/images/cmsuploads/square/attr_1435_20190827123829.jpg,5.3,1.1,1700,0,1,1,0,4.4,3.9,5.7,3.5,8.4,4.9,8.7,8.6
212,Atlantis the Palm ,Dubai," With a private sandy beach and 5-star amenities, Atlantis is the first ever resort to be built on the Palm Jumeirah Island in Dubai. Offering mesmerizing views of the Arabian Gulf and being themed on the myth of Atlantis, this resort inculcates a few distinct Arabian elements. Providing unique features such as an underwater aquarium and swimming with dolphin opportunities, Palm Atlantis is surely one of the worldâ€™s most popular attraction destination for tourists. ",https://www.holidify.com/images/cmsuploads/square/the-palm-962785_960_720_20190929183908.jpg,4.2,1.8,3900,1,1,0,0,4.3,3.6,8.7,6.1,3.5,4.7,1.7,6
213,Dubai Desert Safari ,Dubai," Dubai, mainly renowned for its great infrastructure, is also known for its adventurous streak. At the heart of Dubai is still its desolated desert. And so, to enjoy the desert a bit more effectively, the city presents various Desert Safari options. The experience is one of its kind and worth every penny spent! Visitors can experience desert camping with a delicious Arabian dinner, belly dancers and other traditional performers. Day safaris hold you in for an adventure as you get to try out Dune Bashing, sandboarding, quad biking, camel rides and more.  ",https://www.holidify.com/images/cmsuploads/square/DesetSafari_20170809183203.jpg,4,4.6,3000,0,1,0,0,7.2,8.6,9.2,4.1,8.6,3.5,2.5,8.6
214,Madinat Jumeirah ,Dubai," Situated in Dubai, Madinat Jumeirah is a luxurious 5-star resort built with the motto of ?staying different?. One of the largest resorts in Emirates, it has a private beach, several restaurants, ballrooms, an amphitheatre, fitness clubs, kids club, theatre rooms and a turtle sanctuary as well.Â Madinat Jumeirah has three grand hotels- Jumeirah Al Qasr, Jumeirah Mina Aâ€™salam and Jumeirah Al Naseem, and Jumeirah Dar Al Masyaf which has summerhouses and villas. The resort also has its own Jumeirah Souk which has more than eighty shops, bars and restaurants. All the guests staying in the hotels of Madinat Jumeirah get a complimentary access to the private beach, wild wadi waterpark, kids club, Jumeirah souk, turtle sanctuary and talise spa and fitness centres. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_382420696_20190822132815_20190822132833.jpg,2.8,5.8,1000,-1,0,1,0,6.5,4.5,2.9,9,3.7,4.6,8.6,6.8
215,Dubai Fountain ,Dubai," Dubai Fountain is the world's largest choreographed water fountain located in the beautiful Burj Complex. This dancing fountain surges as high as 150 meters in complete synchronisation to classical, Arabic and other popular world musical numbers. Forming beautiful arcs and jumping to the beats, this fountain was designed by California-based WET, the creators of the Fountains of Bellagio in Las Vegas. The show begins in the evening every day, and the best way to approach it is through the Dubai Mall. ",https://www.holidify.com/images/cmsuploads/square/shutterstock_1196820841_20190903122749.jpg,4,2.2,3600,-1,1,0,1,6.3,4.3,4.2,1.8,6.9,5.8,4.1,1.8
216,Jumeirah Beach ,Dubai," Stretched along the coast, south of the city's historic Al Faihidi district, this sandy white strip of sand is among the top beach destinations for the visitors of Dubai. The cluster of high-end resorts and properties such as Burj Al Arab (Arab Tower) hotel, Wild Wadi Water Park, Jumeirah Beach Hotel and Burj Al Arab (Arab Tower) hotel adds grace to the lively waterfront. For adventure buffs, there is the facility for various watersports like jet skiing, kitesurfing and more. For a quiet day at the beach, visitors can rent sun loungers too.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_1005654079_20190822132330_20190822132355.jpg,3.5,6.9,3600,1,1,1,1,2.6,6,3.7,2.1,8.9,4.1,7.5,9
217,Ski Dubai ,Dubai," Ski Dubai is an indoor ski resort with 22,500 square meters of the indoor ski area. It is the largest indoor ski park in the world. The park has a Snow Park, ski slopes, an ice museum and a skiing academy for those who wish to learn skiing. Apart from the regular facilities, Ski Dubai also hosts various events and concerts and a very cosy eatery called the Avalance Cafe which has a balcony that faces the ski slopes.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_584347765_20190822132635_20190822132655.jpg,4.7,8.3,1100,0,1,1,0,2.9,7,2,2.8,7.2,4.2,5.4,5.7
218,Dubai Creek ,Dubai," This Saltwater Creek is UAEâ€™s one of the major port and divides the city into two parts and connects the trading port to the desert. Extended to the Persian Gulf and the wildlife sanctuary, this waterway acts as a commercial lifeline as it facilitates not just tourism but also harbours ships, trade and commercial activities. This is a popular place for an evening visit. Witness the lights and music shows, floating and moving dhows, yachts, boats and vessels to get a glimpse of old Dubai during the trade times. A delectable meal and a starry waterfront is all you need to end your journey and trip on a good note! ",https://www.holidify.com/images/cmsuploads/square/The_view_of_Dubai_Creek_20190127130214.jpg,2.2,3.7,1400,0,0,0,0,7.4,8.3,1.6,3.9,8.6,3.9,2.9,5.6
219,At the Top Burj Khalifa ,Dubai," Giving a mesmerising view of the horizon, the At the Top Burj Khalifa tour is a showstopper for those of you out there who wish to know what the view is like from the world's tallest tower. Developed specifically for the tourists, the At the Top tour and At the Top SKY tour takes you to one of the highest observation decks in the world! ",https://www.holidify.com/images/cmsuploads/square/15697935478_58eff1108c_k_20190510165348.jpg,4.9,1.3,2200,0,1,0,1,4,8.3,6.9,6.8,5.2,8.5,2.5,5
220,Kite Beach ,Dubai," Not just a beachgoers hub, but a regular spot for watersports enthusiasts, Kite Beach, is the newest beach in Dubai to have a lasting impression on visitors. Wakeboarding, kitesurfing and paddleboarding are a few things that visitors try out when visiting Kite Beach. One can try their hand at volleyball too with the net set upright on the beach. Kite Beach is a local and tourists favourite beach destination with its clean sands, adventure and relaxing opportunities available at everyone's disposal.  ",https://www.holidify.com/images/cmsuploads/square/shutterstock_749793508_20190905101749.jpg,2.3,9.2,500,1,0,0,0,3.7,1.9,5.8,5.7,4.2,9.3,2,6.9
